	title	link	salary_minimal	salary_maximal	normal_salary	source
187	Python разработчик	https://orenburg.hh.ru/vacancy/49104282		300000.0	руб.	hh.ru
188	Python-разработчик	https://orenburg.hh.ru/vacancy/51855274				hh.ru
189	Quantitative Analyst / Data scientist	https://orenburg.hh.ru/vacancy/50536073		4000.0	EUR	hh.ru
190	Backend-разработчик (Python / Django)	https://orenburg.hh.ru/vacancy/51123359				hh.ru
191	Python разработчик	https://orenburg.hh.ru/vacancy/48934640				hh.ru
192	Junior Data Engineer	https://orenburg.hh.ru/vacancy/49514879				hh.ru
193	Инженер-программист (Python)	https://orenburg.hh.ru/vacancy/51848142				hh.ru
194	Инженер по автоматизации тестирования Python; Логистика/Сортировка	https://orenburg.hh.ru/vacancy/51785731				hh.ru
195	Python Developer	https://orenburg.hh.ru/vacancy/50852364				hh.ru
196	Python / DS-ML разработчик	https://orenburg.hh.ru/vacancy/51599391				hh.ru
197	Intern Python Software Engineer; PowerStore; Networking	https://orenburg.hh.ru/vacancy/50187659				hh.ru
198	Python developer	https://orenburg.hh.ru/vacancy/44270356				hh.ru
199	Python developer (Flask/Tornado)	https://orenburg.hh.ru/vacancy/49190640				hh.ru
200	Программист Python	https://orenburg.hh.ru/vacancy/46908066		150000.0	руб.	hh.ru
201	Senior Python Developer (remote) / Старший python-разработчик (удаленно)	https://orenburg.hh.ru/vacancy/50918671		220000.0	руб.	hh.ru
202	Data Scientist	https://orenburg.hh.ru/vacancy/48969689				hh.ru
203	Python TeamLead	https://orenburg.hh.ru/vacancy/50669873	100000.0	200000.0	руб.	hh.ru
204	QA Manual / Тестировщик ПО	https://orenburg.hh.ru/vacancy/51647409		30000.0	руб.	hh.ru
205	Python Web Developer (full stack)	https://orenburg.hh.ru/vacancy/49150518				hh.ru
206	Аналитик Python (senior)	https://orenburg.hh.ru/vacancy/48877390				hh.ru
207	Python Developer (Backend)	https://orenburg.hh.ru/vacancy/48361239				hh.ru
208	Middle python-разработчик	https://orenburg.hh.ru/vacancy/50586452		150000.0	руб.	hh.ru
209	Python-разработчик в тестировании	https://orenburg.hh.ru/vacancy/50956878				hh.ru
210	Data Scientist в команду Navi	https://orenburg.hh.ru/vacancy/51082649				hh.ru
211	Python разработчик	https://orenburg.hh.ru/vacancy/50749151				hh.ru
212	Machine Learning Engineer (Remote)	https://orenburg.hh.ru/vacancy/51388600	200000.0	390000.0	руб.	hh.ru
